city,month,solar_irradiance
Jawf,1,4213.8
Jawf,2,5347.5
Jawf,3,5948.5
Jawf,4,7395.3
Jawf,5,8115.6
Jawf,6,8536.2
Jawf,7,8453.7
Jawf,8,7474.4
Jawf,9,6718.2
Jawf,10,5355.4
Jawf,11,4137
Jawf,12,3576.5
Mecca,1,4282.6
Mecca,2,5375.6
Mecca,3,6185.1
Mecca,4,6718
Mecca,5,7421.1
Mecca,6,7510
Mecca,7,6936.1
Mecca,8,6461.4
Mecca,9,6003.9
Mecca,10,5778.5
Mecca,11,4782.2
Mecca,12,3901.2
Tabuk,1,4352.4
Tabuk,2,5446.4
Tabuk,3,5922.6
Tabuk,4,7356.2
Tabuk,5,8055.9
Tabuk,6,8437
Tabuk,7,8322.8
Tabuk,8,7420.2
Tabuk,9,6833.7
Tabuk,10,5486.8
Tabuk,11,4239.6
Tabuk,12,3902.6
Northern boarder,1,3819.5
Northern boarder,2,5121.6
Northern boarder,3,5858.8
Northern boarder,4,7190.8
Northern boarder,5,8008.5
Northern boarder,6,8357.9
Northern boarder,7,8472
Northern boarder,8,7303.8
Northern boarder,9,6663.9
Northern boarder,10,5204.4
Northern boarder,11,3974.8
Northern boarder,12,3307.9
Hail,1,4217.2
Hail,2,5427.8
Hail,3,5794.1
Hail,4,6860.2
Hail,5,8047.6
Hail,6,8423.9
Hail,7,8393.4
Hail,8,7434.7
Hail,9,6720.4
Hail,10,5655.3
Hail,11,4304.2
Hail,12,3758.8
Madina,1,4523.5
Madina,2,5526.2
Madina,3,5727.6
Madina,4,6767
Madina,5,7868.4
Madina,6,7865.4
Madina,7,7847.6
Madina,8,7077.9
Madina,9,6520.7
Madina,10,5666.9
Madina,11,4840.6
Madina,12,4028
Baha,1,5070.6
Baha,2,6012.5
Baha,3,6591.5
Baha,4,6059.1
Baha,5,6705.1
Baha,6,7496
Baha,7,6798.5
Baha,8,6535.4
Baha,9,6462.6
Baha,10,6673.5
Baha,11,5533.8
Baha,12,4223.4
Najran,1,5358.7
Najran,2,6569.4
Najran,3,6892
Najran,4,6318.5
Najran,5,7646.9
Najran,6,7765.3
Najran,7,6958.8
Najran,8,7062.7
Najran,9,6960.6
Najran,10,6977.1
Najran,11,5990.2
Najran,12,4979.2
Jazan,1,4235.5
Jazan,2,5312
Jazan,3,6044.4
Jazan,4,6345.3
Jazan,5,6515
Jazan,6,6228.3
Jazan,7,5356.4
Jazan,8,5858.1
Jazan,9,5986.7
Jazan,10,5986.5
Jazan,11,4942
Jazan,12,4218.6
Qassim,1,4250.7
Qassim,2,5510.9
Qassim,3,5637.6
Qassim,4,6867.8
Qassim,5,7839.4
Qassim,6,8155.3
Qassim,7,8182.6
Qassim,8,7395.5
Qassim,9,6606.2
Qassim,10,5856.9
Qassim,11,4392.2
Qassim,12,3422
