"id","going out","gender","age","country","state","100 grand bar","anonymous brown globs that come in black and orange wrappers a k a mary janes","any full sized candy bar","black jacks","bonkers the candy","bonkers the board game","bottle caps","box o raisins","broken glow stick","butterfinger","cadbury creme eggs","candy corn","candy that is clearly just the stuff given out for free at restaurants","caramellos","cash or other forms of legal tender","chardonnay","chick o sticks we don ot know what that is","chiclets","coffee crisp","creepy religious comics chick tracts","dental paraphenalia","dots","dove bars","fuzzy peaches","generic brand acetaminophen","glow sticks","goo goo clusters","good n plenty","gum from baseball cards","gummy bears straight up","hard candy","healthy fruit","heath bar","hershey s dark chocolate","hershey os milk chocolate","hershey s kisses","hugs actual physical hugs","jolly rancher bad flavor","jolly ranchers good flavor","joy joy mit iodine","junior mints","senior mints","kale smoothie","kinder happy hippo","kit kat","laffy taffy","lemon heads","licorice not black","licorice yes black","lindt truffle","lollipops","mars","maynards","mike and ike","milk duds","milky way","regular m ms","peanut m m os","blue m m s","red m m s","green party m m s","independent m m s","abstained from m m ing","minibags of chips","mint kisses","mint juleps","mr goodbar","necco wafers","nerds","nestle crunch","now n laters","peeps","pencils","pixy stix","real housewives of orange county season 9 blue ray","reese os peanut butter cups","reese s pieces","reggie jackson bar","rolos","sandwich sized bags filled with boo berry crunch","skittles","smarties american","smarties commonwealth","snickers","sourpatch kids i e abominations of nature","spotted dick","starburst","sweet tarts","swedish fish","sweetums a friend to diabetes","take 5","tic tacs","those odd marshmallow circus peanut things","three musketeers","tolberone something or other","trail mix","twix","vials of pure high fructose corn syrup for main lining into your vein","vicodin","whatchamacallit bars","white bread","whole wheat anything","york peppermint patties","joy other","despair other","other comments","dress","day","media daily dish","media science","media espn","media yahoo","click Coordinates (x, y)"
"90272821","No","Male","44","United States","New Mexico","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","DESPAIR","MEH","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","Mounds",NA,"Bottom line is Twix is really the only candy worth eating. ","White and gold","Sunday","NA","1","NA","NA","(84, 25)"
"90272829",NA,"Male","49","United States","Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA
"90272840","No","Male","40","United States","Oregon","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","JOY","JOY","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","MEH","DESPAIR","JOY","MEH","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","MEH","JOY","MEH","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","Reese's crispy crunchy bars, 5th avenue bars, ferrero rocher, dries fruit other than raisins",NA,"Raisins can go to hell","White and gold","Sunday","NA","1","NA","NA","(75, 23)"
"90272841","No","Male","23","United States","Pennsylvania ","JOY","DESPAIR","JOY","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","MEH","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","JOY",NA,"JOY","JOY","DESPAIR",NA,"MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY",NA,NA,NA,"White and gold","Friday","NA","1","NA","NA","(70, 10)"
"90272852","No","Male","NA",NA,NA,"JOY","DESPAIR","JOY",NA,NA,NA,"MEH","MEH","DESPAIR","JOY","DESPAIR","MEH","MEH","JOY","JOY","JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","JOY",NA,"DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","MEH","MEH","JOY","JOY","MEH","MEH","MEH","MEH","MEH",NA,"JOY",NA,"DESPAIR",NA,"JOY","MEH","MEH","MEH","MEH","JOY","MEH","JOY",NA,"JOY","JOY","JOY","JOY","JOY","JOY","JOY",NA,NA,NA,"JOY","JOY","JOY","JOY","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","MEH",NA,NA,"MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY",NA,NA,NA,NA,NA,"NA","1","NA","NA","(75, 23)"
"90272853","No","Male","53","United States","Colorado ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA
"90272854","No","Male","33","Canada","Ontario","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY",NA,"JOY","DESPAIR","JOY","MEH","JOY","MEH","JOY","DESPAIR","MEH","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","using my elbows to get in front of the little kids in line.","when the little kids get the big chocolate bars and the homeowner says that im too old to be trick-or-treating but then i try to logic with them but they still say no so i pout and stomp my feet to make it seem like im young at heart, but really im just gonna go to the corner store and buy a candy bar for myself later.","first person to give out cans of beer, wins","Blue and black","Friday","NA","1","NA","NA","(55, 5)"
"90272858","No","Male","40","Canada","Ontario","JOY","DESPAIR","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","MEH","JOY","MEH","MEH","DESPAIR","DESPAIR","MEH","JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR",NA,NA,NA,"Blue and black","Sunday","NA","1","NA","NA","(76, 24)"
"90272859","No","Female","53","United States","Washington","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","DESPAIR","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","MEH","MEH","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH",NA,"MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","Peanut butter m&ms ",NA,NA,"White and gold","Sunday","NA","1","NA","NA","(70, 28)"
"90272861","Yes","Male","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA",NA
