"id","going out","gender","age","country","state","100 grand bar","anonymous brown globs that come in black and orange wrappers a k a mary janes","any full sized candy bar","black jacks","bonkers the candy","bonkers the board game","bottle caps","box o raisins","broken glow stick","butterfinger","cadbury creme eggs","candy corn","candy that is clearly just the stuff given out for free at restaurants","caramellos","cash or other forms of legal tender","chardonnay","chick o sticks we don ot know what that is","chiclets","coffee crisp","creepy religious comics chick tracts","dental paraphenalia","dots","dove bars","fuzzy peaches","generic brand acetaminophen","glow sticks","goo goo clusters","good n plenty","gum from baseball cards","gummy bears straight up","hard candy","healthy fruit","heath bar","hershey s dark chocolate","hershey os milk chocolate","hershey s kisses","hugs actual physical hugs","jolly rancher bad flavor","jolly ranchers good flavor","joy joy mit iodine","junior mints","senior mints","kale smoothie","kinder happy hippo","kit kat","laffy taffy","lemon heads","licorice not black","licorice yes black","lindt truffle","lollipops","mars","maynards","mike and ike","milk duds","milky way","regular m ms","peanut m m os","blue m m s","red m m s","green party m m s","independent m m s","abstained from m m ing","minibags of chips","mint kisses","mint juleps","mr goodbar","necco wafers","nerds","nestle crunch","now n laters","peeps","pencils","pixy stix","real housewives of orange county season 9 blue ray","reese os peanut butter cups","reese s pieces","reggie jackson bar","rolos","sandwich sized bags filled with boo berry crunch","skittles","smarties american","smarties commonwealth","snickers","sourpatch kids i e abominations of nature","spotted dick","starburst","sweet tarts","swedish fish","sweetums a friend to diabetes","take 5","tic tacs","those odd marshmallow circus peanut things","three musketeers","tolberone something or other","trail mix","twix","vials of pure high fructose corn syrup for main lining into your vein","vicodin","whatchamacallit bars","white bread","whole wheat anything","york peppermint patties","joy other","despair other","other comments","dress","day","media daily dish","media science","media espn","media yahoo","click Coordinates (x, y)"
90273345,"Yes","Female","12","United States","massachusetts","JOY","DESPAIR","MEH","MEH","MEH","JOY","JOY","DESPAIR",NA,"MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","MEH","MEH","JOY","JOY","MEH","JOY","MEH","JOY","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","JOY","MEH","MEH","JOY","MEH","MEH","JOY","MEH","DESPAIR","JOY","Actual toys, like stuffed animals and sling shot thingy's","Random candys where the rapper is partially ripped of revieling melted something that was apparently made in china.","I feel like i'm gonna get diabetes this Halloween is this is the kind of stuff they'll give out.","White and gold","Sunday",NA,1,NA,NA,"(74, 32)"
90273509,"Yes","Female","12","United States",NA,"MEH","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","DESPAIR","DESPAIR",NA,"DESPAIR","JOY","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","regular mints",NA,NA,"White and gold","Sunday",NA,1,NA,NA,"(66, 42)"
90273844,"Yes","Female","11","United States","Co","JOY","MEH","JOY","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","MEH","JOY","JOY","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","JOY","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","JOY","Gobstoppers",NA,NA,"White and gold","Sunday",1,NA,NA,NA,"(27, 32)"
90273938,"Yes","Female","10","Canada","Alberta","MEH","MEH","JOY","MEH","MEH","MEH","JOY","MEH","DESPAIR","MEH","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","MEH","JOY","MEH","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","MEH","MEH","MEH","JOY","JOY","JOY","MEH","JOY","JOY","JOY","MEH","MEH","JOY","MEH","JOY","MEH","DESPAIR","JOY","JOY","MEH","MEH","JOY","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","DESPAIR","MEH","DESPAIR","JOY","JOY","MEH","MEH","MEH","JOY","DESPAIR","JOY","MEH","MEH","JOY","DESPAIR","JOY","JOY","JOY","MEH","JOY","DESPAIR","MEH","JOY","JOY","MEH","JOY","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","MEH","MEH",NA,NA,NA,"White and gold","Sunday",NA,1,NA,NA,"(85, 21)"
90274037,"No","Female","12","United States","mn","JOY","JOY","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","MEH","MEH","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY",NA,NA,NA,"Blue and black","Sunday",1,NA,NA,NA,"(25, 23)"
90274195,"Yes","Male","13","United States","massachusetts",NA,NA,"JOY",NA,NA,NA,"DESPAIR","MEH","DESPAIR","MEH","JOY","JOY","MEH",NA,"JOY",NA,NA,NA,NA,"JOY","MEH","MEH","JOY","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY",NA,"JOY","MEH","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY",NA,"JOY","JOY","JOY",NA,NA,"JOY","JOY",NA,"JOY","MEH","MEH","MEH","JOY","JOY",NA,NA,NA,"MEH","MEH","JOY","JOY","JOY","DESPAIR","JOY","JOY","JOY",NA,NA,"JOY",NA,"JOY","JOY","MEH","JOY","MEH","MEH","JOY","MEH","MEH","JOY",NA,NA,NA,"Blue and black","Sunday",NA,1,NA,NA,"(77, 21)"
90275713,"Yes","Female","12","United States","cailifornia","MEH","MEH","JOY","MEH","MEH","MEH","JOY","JOY","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","JOY","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","JOY","MEH","DESPAIR","DESPAIR","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","MEH","DESPAIR","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","MEH","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","DESPAIR","JOY","DESPAIR","JOY","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR",NA,"Anything with mint or coconut",NA,"White and gold","Friday",NA,1,NA,NA,"(65, 21)"
90276236,"Yes","Male","13","United States","California ","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","DESPAIR","MEH","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","MEH","DESPAIR","JOY","JOY","MEH","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","DESPAIR","JOY","JOY","MEH","DESPAIR","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","MEH","DESPAIR","DESPAIR","DESPAIR","DESPAIR","MEH","JOY","MEH","DESPAIR","JOY","DESPAIR","DESPAIR","MEH","DESPAIR","DESPAIR","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","DESPAIR","DESPAIR","DESPAIR","JOY",NA,NA,NA,"White and gold","Friday",1,NA,NA,NA,"(47, 31)"
90276447,"Yes","Male","12","United States","NH","JOY","MEH","JOY","MEH","JOY","DESPAIR","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","MEH","JOY","MEH","MEH","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","JOY","MEH","MEH","JOY","JOY","MEH","MEH","JOY","MEH","JOY","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","MEH","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","DESPAIR","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","JOY","JOY","MEH","MEH","JOY","JOY","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","JOY","DESPAIR","JOY","Candy corn pumpkins","Steak","Hey","White and gold","Sunday",NA,NA,1,NA,"(25, 73)"
90276583,"No","Male","15","United States","Illinois","MEH","DESPAIR","JOY","MEH","MEH","MEH","MEH","DESPAIR","MEH","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","JOY","MEH","MEH","MEH","JOY","MEH","DESPAIR","JOY","JOY","DESPAIR","DESPAIR","JOY","DESPAIR","MEH","MEH","MEH","MEH","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","MEH","JOY","DESPAIR","MEH","MEH","DESPAIR","DESPAIR","JOY","JOY","JOY","JOY","DESPAIR","JOY","MEH","JOY","DESPAIR","JOY","MEH","MEH","MEH","JOY","JOY","JOY","JOY","JOY","DESPAIR","JOY","JOY","MEH","JOY","JOY","MEH","JOY","MEH","JOY","DESPAIR","MEH","DESPAIR","JOY","JOY","DESPAIR","JOY","MEH","JOY","JOY","MEH","JOY","JOY","DESPAIR","JOY","MEH","JOY","MEH","DESPAIR","MEH","MEH","JOY","JOY","JOY","JOY","DESPAIR","DESPAIR","DESPAIR","MEH","MEH","JOY","Math and sciences, technology, the girl I like (with out her boy friend), soccer, running. ","The girl I like (when she is with her boyfriend)","A lot of the things i despair I didn't know, this excludea when the girl I like is with her boy friend, I mean sure he is an uperclass man but, none of her friends like him. This is were I come In, I like her and her friends like me and well I have more to offer too (in many aspects) so why is she with him especially at such a young age, I have no Idea, but here I am going on a rant, and well I kinda feel like Taylor Swift from ""you belong with me"" except we are younger and. Its about a girl instead of the one guy. ","Blue and black","Friday",NA,1,NA,NA,"(78, 21)"
