state,location,lat,lon,DESPAIR,MEH,JOY,total
AK,Alaska,28.12768,-117.981766,0,0,2,2
AL,Alabama,32.688053,-86.810585,1,0,7,8
AR,Arkansas,34.755883,-92.640559,0,1,1,2
AZ,Arizona,34.255149,-111.62621,1,2,21,24
CA,California,36.531544,-119.586168,21,60,160,241
CO,Colorado,38.996664,-105.547822,4,0,0,4
CT,Connecticut,41.580163,-72.756629,0,10,5,15
DC,District of Columbia,38.912097,-77.014683,0,3,10,13
DE,Delaware,38.978849,-75.46014,0,3,12,15
FL,Florida,27.97762,-81.769611,5,23,8,36
GA,Georgia,32.53951,-83.380775,0,7,24,31
HI,Hawaii,24.200987,-104.313994,0,2,5,7
IA,Iowa,42.039943,-93.500069,1,1,14,16
ID,Idaho,43.764877,-114.964267,0,4,2,6
IL,Illinois,40.265028,-89.191575,8,15,57,80
IN,Indiana,39.904493,-86.250281,1,11,13,25
KS,Kansas,38.500327,-98.380429,1,5,9,15
KY,Kentucky,37.696825,-84.924095,0,3,7,10
LA,Louisiana,30.542601,-92.51441,0,2,5,7
MA,Massachusetts,42.358752,-71.531484,6,21,38,65
MD,Maryland,39.038828,-76.346717,3,7,19,29
ME,Maine,45.243327,-69.171071,1,4,12,17
MI,Michigan,43.924812,-84.633107,3,4,31,38
MN,Minnesota,46.63636,-94.579641,2,12,31,45
MO,Missouri,38.353141,-92.747022,3,3,23,29
MS,Mississippi,32.921921,-89.687118,0,0,3,3
MT,Montana,47.001265,-109.645406,0,1,5,6
NC,North Carolina,35.387362,-78.455056,2,12,21,35
ND,North Dakota,47.471495,-100.469096,0,1,3,4
NE,Nebraska,41.499671,-99.810075,1,2,4,7
NH,New Hampshire,43.644386,-71.586283,0,3,7,10
NJ,New Jersey,39.66502,-74.738208,0,8,19,27
NM,New Mexico,34.498624,-106.108278,1,3,7,11
NV,Nevada,39.440688,-116.598569,0,1,10,11
NY,New York,42.165726,-74.948051,8,28,56,92
OH,Ohio,40.262259,-82.883453,3,8,34,45
OK,Oklahoma,35.455622,-97.508021,0,3,7,10
OR,Oregon,43.854178,-120.526709,9,20,37,66
PA,Pennsylvania,40.860198,-77.838617,6,23,41,70
RI,Rhode Island,41.587536,-71.514739,0,0,8,8
SC,South Carolina,33.702857,-80.627523,0,0,5,5
TN,Tennessee,35.820245,-86.343764,0,0,11,11
TX,Texas,31.030974,-98.326329,10,18,42,70
UT,Utah,39.098999,-111.878816,0,5,10,15
VA,Virginia,37.73086,-78.376655,0,18,36,54
VT,Vermont,44.211857,-72.681238,0,3,5,8
WA,Washington,47.372269,-120.59234,9,28,57,94
WI,Wisconsin,44.356004,-89.466198,3,5,20,28
WY,Wyoming,43.001645,-107.55153,0,1,2,3
